1,00005F95,1,1,2017-02-01 18:53:37,18,120,TX radio voltage or consumption issue,58922224c7b3a3511837398d,2017-5,2017-2,K2_000006-01
2,00005F94,2,1,2017-02-01 19:09:20,203,0,"BS successfully configured, tested and calibrated.",5892292ac7b3a35118373b1a,2017-5,2017-2,K2_000006-01
3,00005F90,3,1,2017-02-01 19:18:12,197,0,"BS successfully configured, tested and calibrated.",5892292ac7b3a35118373b1d,2017-5,2017-2,K2_000006-01
4,00005F95,3,1,2017-02-01 18:59:41,18,120,TX radio voltage or consumption issue,5892292bc7b3a35118373b20,2017-5,2017-2,K2_000006-01
5,00005F97,4,1,2017-02-01 19:13:23,182,0,"BS successfully configured, tested and calibrated.",5892292bc7b3a35118373b23,2017-5,2017-2,K2_000006-01
6,00005F94,4,1,2017-02-01 19:21:02,182,0,"BS successfully configured, tested and calibrated.",5892292cc7b3a35118373b26,2017-5,2017-2,K2_000006-01
7,00005F98,3,1,2017-02-01 19:56:18,195,0,"BS successfully configured, tested and calibrated.",58923035c7b3a35118373b55,2017-5,2017-2,K2_000006-01
8,00005F90,1,1,2017-02-02 14:49:31,194,0,"BS successfully configured, tested and calibrated.",58933b66c7b3a35118374668,2017-5,2017-2,K2_000006-02
9,00005F95,3,1,2017-02-02 14:39:30,22,120,TX radio voltage or consumption issue,58933b66c7b3a3511837466f,2017-5,2017-2,K2_000006-02
10,00005F96,1,1,2017-02-02 14:38:17,182,0,"BS successfully configured, tested and calibrated.",58933b67c7b3a35118374677,2017-5,2017-2,K2_000006-02
11,00005F97,3,1,2017-02-02 14:55:04,211,0,"BS successfully configured, tested and calibrated.",58933b67c7b3a3511837467f,2017-5,2017-2,K2_000006-02
12,00005F9C,1,1,2017-02-02 17:40:36,169,0,"BS successfully configured, tested and calibrated.",58936592c7b3a35118374d36,2017-5,2017-2,K2_000007-02
13,00005F9A,1,1,2017-02-03 11:56:23,170,0,"BS successfully configured, tested and calibrated.",589462b2c7b3a351183754cd,2017-5,2017-2,K2_000007-02
14,00005F98,4,1,2017-02-03 14:24:04,189,0,"BS successfully configured, tested and calibrated.",589485dac7b3a35118375b72,2017-5,2017-2,K2_000006-02
15,00005FA2,4,1,2017-02-03 14:56:00,191,0,"BS successfully configured, tested and calibrated.",58948ce2c7b3a35118375c7b,2017-5,2017-2,K2_000006-02
16,00005F92,3,1,2017-02-03 14:52:07,188,0,"BS successfully configured, tested and calibrated.",58948ce3c7b3a35118375c82,2017-5,2017-2,K2_000006-02
17,00005FA2,1,1,2017-02-03 14:30:01,192,0,"BS successfully configured, tested and calibrated.",58948ce3c7b3a35118375c89,2017-5,2017-2,K2_000006-02
18,00005F98,4,1,2017-02-03 14:50:56,155,801,TX oscillator error validation issue,58948ce4c7b3a35118375c90,2017-5,2017-2,K2_000006-02
19,00005FA2,1,1,2017-02-03 14:49:24,191,0,"BS successfully configured, tested and calibrated.",58948ce4c7b3a35118375c97,2017-5,2017-2,K2_000006-02
20,00005FA2,4,1,2017-02-03 15:01:38,190,0,"BS successfully configured, tested and calibrated.",589493ecc7b3a35118375ea9,2017-5,2017-2,K2_000006-02
21,00005F98,4,1,2017-02-03 15:50:12,187,0,"BS successfully configured, tested and calibrated.",58949af4c7b3a35118375ecd,2017-5,2017-2,K2_000006-02
22,00005F92,1,1,2017-02-03 16:34:08,183,0,"BS successfully configured, tested and calibrated.",5894a903c7b3a351183760f0,2017-5,2017-2,K2_000006-02
23,00005F98,1,1,2017-02-03 16:40:06,191,0,"BS successfully configured, tested and calibrated.",5894a903c7b3a351183760f5,2017-5,2017-2,K2_000006-02
24,00005FA2,4,1,2017-02-03 16:31:37,187,0,"BS successfully configured, tested and calibrated.",5894a904c7b3a351183760fa,2017-5,2017-2,K2_000006-02
25,00005F98,3,1,2017-02-03 16:32:50,208,0,"BS successfully configured, tested and calibrated.",5894a904c7b3a35118376103,2017-5,2017-2,K2_000006-02
26,00005F92,4,1,2017-02-03 16:41:23,148,801,TX oscillator error validation issue,5894a905c7b3a35118376108,2017-5,2017-2,K2_000006-02
27,00005F98,4,1,2017-02-03 17:05:42,185,0,"BS successfully configured, tested and calibrated.",5894b00ac7b3a35118376307,2017-5,2017-2,K2_000006-02
28,00005F92,1,1,2017-02-03 18:26:52,181,0,"BS successfully configured, tested and calibrated.",5894be1ac7b3a3511837653a,2017-5,2017-2,K2_000006-02
29,00005F92,3,1,2017-02-06 15:33:44,182,0,"BS successfully configured, tested and calibrated.",58988f75c7b3a35118376d16,2017-6,2017-2,K2_000006-02
30,00005FA2,3,1,2017-02-06 16:22:37,198,0,"BS successfully configured, tested and calibrated.",5898967dc7b3a35118377124,2017-6,2017-2,K2_000006-02
31,00005F92,1,1,2017-02-06 16:46:08,182,0,"BS successfully configured, tested and calibrated.",58989d84c7b3a35118377169,2017-6,2017-2,K2_000006-02
